,Skew Angle,Slope Angle,Center of Mass x,Center of Mass y,Aspect Ratio,Entropy,ForgerID,OriginalID,Genuine
243,1,-18.66,102.4,270.8,2.363,0.2412,1,1,1
244,-5,-50.84,100.2,254.5,0.515,0.308,2,2,1
245,-3,-43.53,106.8,249.5,0.10254,0.4167,3,3,1
246,5,-37,102.2,251,1.22,0.1865,4,4,1
247,-5,-21.88,107.1,239.8,2.21,0.4036,5,5,1
248,-4,-9.46,90.56,243.8,0.615,0.3616,6,6,1
249,-2,-18.44,102.94,240.9,2.123,0.304,7,7,1
250,-4,-28.4,103.94,199,1.195,0.3223,8,8,1
251,-4,-37.78,88.3,215.5,0.7075,0.319,9,9,1
252,-4,-17.03,103.9,187.9,1.139,0.2306,0,0,1
253,-4,-45.72,99.9,255.1,0.598,0.2742,1,1,1
254,-5,-54.88,107.56,245.6,0.523,0.2808,2,2,1
255,-2,-61.16,93.9,250,0.2512,0.4062,3,3,1
256,-3,-51.7,100.2,238.1,0.5024,0.3416,4,4,1
257,-4,-73.3,100,245.2,0.1692,0.4495,5,5,1
258,-1,-45.75,102.1,236.5,0.969,0.3726,6,6,1
259,-3,0.414,102.6,274.8,-2.129,0.3997,7,7,1
260,-3,-52.62,97.1,241.2,0.4153,0.3284,8,8,1
261,5,-43.38,91.44,234.2,0.484,0.341,9,9,1
262,-1,-15.91,95.44,242.9,2.195,0.2893,0,0,1
263,-2,-25.9,89.1,225.4,1.273,0.4077,1,1,1
264,-1,-26.39,94.3,245,1.293,0.3413,2,2,1
265,-3,-14,97,246,1.852,0.3213,3,3,1
266,-5,-72.56,91.3,247.1,0.2,0.3423,4,4,1
267,-5,-13.86,121.44,218.9,1.954,0.2029,1,1,1
268,-5,-17.98,125.75,195.9,1.943,0.1705,2,2,1
269,-2,-15.73,116.5,203.6,2.44,0.2104,3,3,1
270,-5,-21.16,125.6,184.5,1.938,0.1131,4,4,1
271,-5,-17.8,118.7,179,2.236,0.1727,5,5,1
272,-2,-17.14,124.94,167.1,2.217,0.166,6,6,1
273,-2,-15.17,123.3,168.5,2.477,0.1401,7,7,1
274,-5,-18.02,117.2,169.8,2.133,0.1599,8,8,1
275,-5,-14.82,121.3,155.9,2.46,0.1696,9,9,1
276,-4,-18.23,126.9,222.4,2.271,0.193,0,0,1
277,-3,-19.64,132,193.2,2.041,0.1674,1,1,1
278,-3,-21.03,134,175.6,1.907,0.1703,2,2,1
279,-5,-18.92,129.5,216.6,1.801,0.232,3,3,1
280,-5,-23.5,99.4,184.4,2.23,0.1471,4,4,1
281,-3,-20.12,116.4,186.9,2.102,0.2157,5,5,1
282,-3,-19,122.7,195.8,2.158,0.1926,6,6,1
283,-5,-22.53,127.25,192,1.734,0.2153,7,7,1
284,-4,-17.97,109,174.8,2.277,0.2135,8,8,1
285,-5,-16.55,120.8,159.2,2.3,0.1647,9,9,1
286,-3,-16.9,119.6,160,2.418,0.1388,0,0,1
287,-5,-15.805,114.25,149.9,2.21,0.1936,1,1,1
288,-4,-20.58,116,130.6,2.035,0.1338,2,2,1
289,-5,-19.73,110.1,140.2,2.23,0.1761,3,3,1
290,-3,-18.88,104.2,158,2.402,0.1724,4,4,1
291,1,0.895,127.9,244.2,1.969,0.249,1,1,1
292,-5,-7.82,123.2,248,2.55,0.2028,2,2,1
293,-1,-4.36,115.7,258.8,2.39,0.2064,3,3,1
294,-3,-7.242,113.44,244.6,2.236,0.2003,4,4,1
295,-5,-4.465,121.94,237.9,2.057,0.2474,5,5,1
296,-3,-6.86,107.8,254.5,2.314,0.1766,6,6,1
297,3,-9.02,118.8,246.9,2.39,0.1927,7,7,1
298,-4,-7.758,115.9,247.8,2.334,0.1892,8,8,1
299,-1,-7.42,119.06,245.5,2.336,0.2256,9,9,1
300,-5,-6.61,124,230.6,2.535,0.2417,0,0,1
301,-3,-3.383,124.2,250.1,2.016,0.259,1,1,1
302,-4,-4.367,124.4,252.5,2.148,0.2421,2,2,1
303,-5,-6.07,138.6,239.5,2.025,0.2068,3,3,1
304,-5,-4.066,132.4,240.5,2.32,0.2793,4,4,1
305,-3,-7.35,123.9,242.4,1.918,0.2463,5,5,1
306,-4,-7.11,130,233,2.15,0.256,6,6,1
307,-2,-6.465,124.4,238.9,2.094,0.279,7,7,1
308,-5,-3.512,123.75,245.4,2.025,0.265,8,8,1
309,-3,-2.457,139.9,220.1,2.39,0.2615,9,9,1
310,-5,-5.89,126.8,231.5,2.45,0.2507,0,0,1
311,-5,-4.945,122.25,241,2.455,0.271,1,1,1
312,-2,0,125.2,217.4,1.448,0.272,2,2,1
313,-4,-4.164,126.25,241.6,2.406,0.2634,3,3,1
314,-4,-4.207,128,236.5,2.453,0.2969,4,4,1
315,4,-13.16,88.06,214.8,1.179,0.2537,1,1,1
316,-5,-11.46,103.94,241.6,1.139,0.2546,2,2,1
317,-2,-26.81,104.56,237.6,0.9287,0.2158,3,3,1
318,0,-17.58,100.06,242.9,0.9185,0.2391,4,4,1
319,-1,-21.19,103.44,227.6,1.005,0.2446,5,5,1
320,5,-14.04,103,237.2,0.9434,0.2389,6,6,1
321,0,-13.2,95,237.1,1.436,0.2546,7,7,1
322,-5,-9.516,104.25,250,1.766,0.2295,8,8,1
323,-4,-11.02,99.2,249.1,1.395,0.2421,9,9,1
324,-4,-30.11,96.4,232.9,1.372,0.2976,0,0,1
325,0,-25.5,106.75,239.1,1.419,0.2373,1,1,1
326,1,-23.6,98.56,224.5,1.749,0.2312,2,2,1
327,-2,-23.61,105.7,234.6,1.0205,0.3394,3,3,1
328,0,-20.56,106.75,237.1,1.189,0.2922,4,4,1
329,-1,-19.72,97.8,232.4,1.287,0.2578,5,5,1
330,2,-17.73,106.4,225.8,0.882,0.244,6,6,1
331,-3,-16.2,97.06,249.9,1.071,0.2722,7,7,1
332,2,-12.59,100.4,223.6,1.836,0.2625,8,8,1
333,3,-17.52,104.25,238,1.154,0.2769,9,9,1
334,4,-15.58,105.94,231.8,1.38,0.2659,0,0,1
335,4,-11.85,104.94,238.6,1.467,0.29,1,1,1
336,-4,-15.16,94.4,237.2,1.477,0.2422,2,2,1
337,5,-16.42,104.7,229,1.2,0.2627,3,3,1
338,-1,-15.516,95.7,240.9,1.533,0.25,4,4,1
339,-1,-1.803,130.1,244.8,1.459,0.2424,1,1,1
340,3,8.83,142.9,232.9,1.354,0.2515,2,2,1
341,2,-66.9,105.6,257.8,0.1948,0.2179,3,3,1
342,-1,-41.25,111.5,256.8,0.3333,0.2194,4,4,1
343,4,-52.62,110.9,249.8,0.2153,0.2727,5,5,1
344,1,-76.94,98.7,243.8,0.06665,0.2476,6,6,1
345,-1,-53.12,111.44,250.8,0.01538,0.2201,7,7,1
346,1,-64.06,121.6,259.5,0.1794,0.2191,8,8,1
347,3,-58.66,103.7,248.8,0.2717,0.2524,9,9,1
348,-3,-10.7,114.1,243.2,1.323,0.2483,0,0,1
349,-2,-83.56,109.94,221.1,0.0359,0.1477,1,1,1
350,5,-86.4,102.1,249.5,0.01515,0.2233,2,2,1
351,2,-46.34,98.56,242.1,0.547,0.2644,3,3,1
352,0,-52.62,99.3,244.1,0.282,0.2844,4,4,1
353,-5,-52.12,104,261.5,0.2512,0.274,5,5,1
354,-4,-62.2,108.94,272.8,0.1948,0.2284,6,6,1
355,2,-45.66,105,274.5,0.441,0.1826,7,7,1
356,5,-47.28,85.7,220.6,0.303,0.2251,8,8,1
357,3,-85.94,104.5,266,0.03093,0.2737,0,0,1
358,3,-64.4,103.94,231.5,0.12305,0.328,1,1,1
359,-5,-63.06,122.56,270.2,0.1641,0.2615,2,2,1
360,-2,-51.97,117.4,249,0.2251,0.322,3,3,1
361,4,-41.78,103,264,0.3384,0.3196,4,4,1
362,-4,-12.74,102.9,252.4,2.531,0.3745,101,27,0
363,-2,-22.48,90.06,266,1.041,0.342,101,38,0
364,-2,-27.25,91.1,231,1.374,0.3787,101,66,0
365,-4,-20.53,91.9,205.1,2.531,0.2803,102,24,0
366,-5,-24.44,112.2,222,0.0564,0.4565,102,39,0
367,-5,-32.06,101.9,253.8,1.016,0.537,102,54,0
368,-1,0.4006,116.8,225,1.475,0.4067,102,61,0
369,-2,-44.78,96.7,239.4,0.7266,0.3882,103,31,0
370,-2,-15.03,103,260.5,2.082,0.2302,103,34,0
371,2,2.33,111.2,219.8,2.406,0.333,103,35,0
372,-5,21.06,122.3,250.8,1.518,0.3625,103,44,0
373,-4,-11.38,123.25,225.4,1.64,0.23,104,29,0
374,-5,21.8,95.25,218.4,0.10254,0.3096,104,51,0
375,-2,-13.336,111.6,241.9,1.798,0.142,104,59,0
376,-4,-20.58,107.9,239.2,1.626,0.1672,104,63,0
377,-5,-19.7,112.94,199.9,1.103,0.2642,105,20,0
378,-2,-14.37,84.25,227.9,1.254,0.3289,105,41,0
379,-5,-15.445,101.06,268.8,2.348,0.2317,105,56,0
380,-5,-13.51,95.1,226,2.498,0.21,105,64,0
381,-5,-13.08,99.6,217,1.964,0.2305,106,18,0
382,-2,-5.293,102.1,217.1,1.622,0.2089,106,48,0
383,-3,-10.234,105,209.9,1.799,0.185,106,52,0
384,-5,-14.78,90.6,211.1,2.41,0.2249,106,69,0
385,0,-7.453,105.94,240.1,2.455,0.2191,107,17,0
386,-4,-22.6,89.75,207.1,2.107,0.2244,107,42,0
387,-5,-20.6,85.7,184.8,2.293,0.2338,107,46,0
388,-5,-11.62,128.9,239.2,1.672,0.1626,107,53,0
389,-5,-9.46,96.75,225.8,0.03076,0.3452,108,39,0
390,-5,-20.22,96.06,206.2,1.783,0.3015,108,46,0
391,-5,-8.875,103.5,250.2,2.527,0.2267,108,63,0
392,-5,-10.016,94.44,201.4,2.436,0.2173,108,69,0
393,-5,-17.36,126.1,225.2,0.9844,0.3909,109,30,0
394,2,-14.19,124.1,208.4,2.322,0.265,109,36,0
395,-5,-7.945,108.7,225.6,2.01,0.2356,109,52,0
396,5,-24.55,112.5,269.8,1.595,0.2266,109,58,0
397,-5,-11.55,121.6,185,1.211,0.296,109,62,0
398,-5,-16.84,113.56,197.1,2.156,0.2262,110,21,0
399,0,-8.13,108.7,216.8,2.38,0.2465,110,34,0
400,0,-12.41,125.75,250,1.01,0.1315,110,58,0
401,3,-1.273,116.9,207.9,1.846,0.2935,111,43,0
402,-5,-8.37,112.56,203.4,2.057,0.2507,111,45,0
403,-5,-5.426,116.56,167.5,1.943,0.1578,111,60,0
404,4,-25.94,94.75,201.8,0.9585,0.2627,111,69,0
405,-3,-14.58,104.3,227.5,1.648,0.1902,112,18,0
406,-4,-3.334,87.4,261.2,2.113,0.432,112,32,0
407,-3,-1.726,108.8,220.2,0.851,0.5186,112,33,0
408,2,-4.42,95.7,207.5,1.016,0.2761,112,44,0
409,-3,-2.523,115.6,241.8,1.513,0.4302,112,61,0
410,-3,-19.78,117.44,190,2.281,0.2101,113,13,0
411,-5,4.516,125.44,247.5,1.559,0.3066,113,39,0
412,-5,-29.12,96.7,247.1,0.359,0.3167,113,47,0
413,-2,-7.4,111.8,270.2,1.462,0.4702,113,68,0
414,2,0.614,83,158.9,-1.443,0.4966,114,30,0
415,-1,-27.7,108.3,248.6,-0.2051,0.4905,114,37,0
416,0,0.909,108.1,223.8,-0.9644,0.4343,114,40,0
417,-5,-20.38,89.6,223.8,1.768,0.2142,114,47,0
418,-3,-13.1,96.25,193,1.758,0.2542,114,49,0
419,1,-10.75,100.44,231,2.54,0.127,115,19,0
420,-5,-23.2,111.56,228.8,0.4307,0.2413,115,29,0
421,-1,-33.7,105.06,208.8,-0.015465,0.2937,115,35,0
422,-4,-32.7,111.75,209.4,0.883,0.179,115,53,0
423,0,-18.11,95.44,266.8,1.957,0.1963,115,56,0
424,-5,-7.055,122.44,229.6,2.527,0.2712,116,19,0
425,-3,0.4775,107.44,244.8,-1.846,0.564,116,25,0
426,-5,-0.252,102.9,255.6,2.334,0.3584,116,41,0
427,-4,0.971,106.06,244.5,-0.9077,0.3625,116,45,0
428,-4,-3.957,99.3,166,0.8154,0.3337,116,62,0
429,-3,-20.16,101.9,239.1,1.596,0.2413,117,20,0
430,1,-29.23,86.1,272.5,1.691,0.3975,117,32,0
