,Skew Angle,Slope Angle,Center of Mass x,Center of Mass y,Aspect Ratio,Entropy,Genuine,ID
336,-2,-15.15,87,236.6,2.605,0.678,0,3
337,3,1.097,86.5,267.5,-1.089,0.64,0,3
72,-3,5.062,93.9,206.1,0.405,0.4072,1,4
73,3,0.891,86.9,217.1,2.332,0.4617,1,4
74,5,-5.867,86.5,219.1,2.047,0.381,1,4
75,1,-9.195,92.6,222,2.312,0.483,1,4
76,0,-8.016,96.25,229.1,2.148,0.4463,1,4
77,-5,-9.93,86.8,206.4,2.139,0.3774,1,4
78,-4,4.496,90.44,220.8,1.369,0.3877,1,4
79,2,-9.03,79.06,228,2,0.379,1,4
80,1,7.723,76.4,242.8,0.605,0.395,1,4
81,-1,-5.684,90.94,245,2.164,0.4395,1,4
82,5,-12.55,86.4,218.8,2.072,0.4387,1,4
83,3,-6.234,89.6,254.2,1.803,0.3967,1,4
84,-5,0.2695,90.06,246.8,2.18,0.4536,1,4
85,1,4.54,90.75,236.1,2.262,0.483,1,4
86,-2,-1.741,79.06,230.6,1.518,0.453,1,4
87,-3,-2.816,90,224.2,2.19,0.4158,1,4
88,-1,-33.56,82.8,236.6,-1.175,0.3506,1,4
89,1,-12.7,85.8,219.5,1.9795,0.47,1,4
90,-5,1.386,86.9,221,-0.6357,0.5005,1,4
91,3,-6.883,88.5,203,1.487,0.4307,1,4
92,2,-0.4363,87.3,224,2.021,0.4216,1,4
93,-1,-15.055,76.5,223,2.021,0.3633,1,4
94,-4,-18.78,80.44,212.2,1.523,0.3403,1,4
95,-3,-16.67,88.4,215.4,1.764,0.3723,1,4
148,-1,-2.322,89.06,237,2.527,0.4473,0,4
149,4,-6.996,90.8,206,2.508,0.4978,0,4
150,-3,-4.46,80.3,215.8,2.498,0.4492,0,4
155,-2,-14.63,77.9,217.4,2.416,0.4172,0,4
156,-2,-4.13,91.56,217.5,1.421,0.4065,0,4
157,0,-11.24,82.06,201.5,0.8,0.3762,0,4
158,-1,-4.203,82.6,200,2.525,0.375,0,4
207,-4,0.8794,90.94,204.2,2.338,0.3313,0,4
208,3,-22.38,80.6,224.1,-0.3486,0.3115,0,4
209,3,5.36,86.94,218.2,2.252,0.331,0,4
210,0,-6.664,87.6,215.2,1.896,0.3745,0,4
96,-5,-4.035,125.1,214.9,1.672,0.4148,1,6
97,-5,28.11,121.56,215.1,0.4536,0.4392,1,6
98,-4,-86.9,114.2,249.9,-0.01538,0.4868,1,6
99,3,-5.96,104.44,227.9,2.457,0.4688,1,6
100,-1,-12.34,101.2,208.2,1.195,0.3718,1,6
101,-2,30.06,108.06,231.1,0.09796,0.505,1,6
102,3,-6.605,95.7,212,1.948,0.4033,1,6
103,1,-3.373,96.3,204.6,2.35,0.459,1,6
104,0,-2.338,123.44,206.1,2.514,0.4104,1,6
105,-1,-24.25,115.9,208.2,0.5693,0.4019,1,6
106,-3,-7.57,106.3,211.1,2.508,0.4465,1,6
107,-5,-33.12,118,237.2,0.2358,0.4604,1,6
108,-5,-17.84,118.6,191.8,0.9126,0.411,1,6
109,1,9.7,113.7,225.2,1.206,0.505,1,6
110,-5,-26.56,104.44,211.6,0.691,0.484,1,6
111,-5,-1.532,116.75,223.4,1.533,0.4878,1,6
112,-4,-14.62,111.1,234.9,0.4717,0.5176,1,6
113,-5,1.881,106.7,223.9,1.384,0.4785,1,6
114,-5,-6.09,117.2,205.2,1.923,0.4731,1,6
115,-4,2.59,110.7,213.4,2.041,0.5103,1,6
116,0,-9.766,97.7,199,2.516,0.446,1,6
117,1,13.36,107.4,222.2,0.4102,0.4756,1,6
118,4,-3.2,113,195.6,2.477,0.4214,1,6
119,0,-7.066,102.9,195.1,2.494,0.4377,1,6
179,-5,-12.01,109.25,210.2,2.17,0.2449,0,6
180,-5,-6.9,109.56,222.9,2.246,0.2983,0,6
181,-2,-9.984,105.56,218,2.533,0.298,0,6
182,-5,-3.264,104.9,198.4,2.338,0.2727,0,6
322,-3,-1.567,94.2,234.8,1.6875,0.345,0,6
323,1,-8.79,99.06,241,2.486,0.4094,0,6
324,-3,-12.87,85.56,235.6,2.133,0.4204,0,6
325,-1,-11.37,91.9,227.6,1.887,0.453,0,6
330,-1,-6.598,131.9,207.1,2.129,0.2128,0,6
331,-5,-5.7,118.25,220.4,2.21,0.2898,0,6
332,-4,-10.9,120.8,197.9,2.318,0.2275,0,6
333,-4,-9.95,120.25,196.8,2.188,0.2145,0,6
120,1,-18.66,102.4,270.8,2.363,0.2412,1,9
121,-5,-50.84,100.2,254.5,0.515,0.308,1,9
122,-3,-43.53,106.8,249.5,0.10254,0.4167,1,9
123,5,-37,102.2,251,1.22,0.1865,1,9
124,-5,-21.88,107.1,239.8,2.21,0.4036,1,9
125,-4,-9.46,90.56,243.8,0.615,0.3616,1,9
126,-2,-18.44,102.94,240.9,2.123,0.304,1,9
127,-4,-28.4,103.94,199,1.195,0.3223,1,9
128,-4,-37.78,88.3,215.5,0.7075,0.319,1,9
129,-4,-17.03,103.9,187.9,1.139,0.2306,1,9
130,-4,-45.72,99.9,255.1,0.598,0.2742,1,9
131,-5,-54.88,107.56,245.6,0.523,0.2808,1,9
132,-2,-61.16,93.9,250,0.2512,0.4062,1,9
133,-3,-51.7,100.2,238.1,0.5024,0.3416,1,9
134,-4,-73.3,100,245.2,0.1692,0.4495,1,9
135,-1,-45.75,102.1,236.5,0.969,0.3726,1,9
136,-3,0.414,102.6,274.8,-2.129,0.3997,1,9
137,-3,-52.62,97.1,241.2,0.4153,0.3284,1,9
138,5,-43.38,91.44,234.2,0.484,0.341,1,9
139,-1,-15.91,95.44,242.9,2.195,0.2893,1,9
140,-2,-25.9,89.1,225.4,1.273,0.4077,1,9
141,-1,-26.39,94.3,245,1.293,0.3413,1,9
142,-3,-14,97,246,1.852,0.3213,1,9
143,-5,-72.56,91.3,247.1,0.2,0.3423,1,9
187,-5,-22.23,106.2,195.8,0.7026,0.3354,0,9
188,-3,79.4,110.1,233.5,0.0974,0.454,0,9
189,-4,-23.2,122.06,203.4,1.768,0.4658,0,9
190,-5,-13.75,97.75,155.4,2.2,0.3267,0,9
203,-5,-17.94,91.4,223.5,1.242,0.459,0,9
204,-2,5.38,97.25,233.1,1.138,0.3682,0,9
205,-4,5.477,90.2,216.1,2.246,0.3953,0,9
206,-1,9.086,100.7,213,1.5,0.31,0,9
318,-1,0,115,252,-2.07,0.481,0,9
319,-2,-10.18,98.4,267.2,1.237,0.364,0,9
320,-1,3.18,111.06,251.1,-0.2769,0.4712,0,9
321,-5,-81.75,109.06,239.6,-0.05127,0.5127,0,9
183,-5,-18.72,127.44,230.4,1.574,0.2773,0,12
184,-5,-17.92,132.9,230.4,2.268,0.1431,0,12
185,-3,-15.33,132.5,219.5,2.281,0.1888,0,12
186,-4,-34.47,128.5,241.2,0.8667,0.294,0,12
219,-5,-13.86,121.44,218.9,1.954,0.2029,1,12
220,-5,-17.98,125.75,195.9,1.943,0.1705,1,12
221,-2,-15.73,116.5,203.6,2.44,0.2104,1,12
222,-5,-21.16,125.6,184.5,1.938,0.1131,1,12
223,-5,-17.8,118.7,179,2.236,0.1727,1,12
224,-2,-17.14,124.94,167.1,2.217,0.166,1,12
225,-2,-15.17,123.3,168.5,2.477,0.1401,1,12
226,-5,-18.02,117.2,169.8,2.133,0.1599,1,12
227,-5,-14.82,121.3,155.9,2.46,0.1696,1,12
228,-4,-18.23,126.9,222.4,2.271,0.193,1,12
229,-3,-19.64,132,193.2,2.041,0.1674,1,12
230,-3,-21.03,134,175.6,1.907,0.1703,1,12
231,-5,-18.92,129.5,216.6,1.801,0.232,1,12
232,-5,-23.5,99.4,184.4,2.23,0.1471,1,12
233,-3,-20.12,116.4,186.9,2.102,0.2157,1,12
234,-3,-19,122.7,195.8,2.158,0.1926,1,12
235,-5,-22.53,127.25,192,1.734,0.2153,1,12
236,-4,-17.97,109,174.8,2.277,0.2135,1,12
237,-5,-16.55,120.8,159.2,2.3,0.1647,1,12
238,-3,-16.9,119.6,160,2.418,0.1388,1,12
239,-5,-15.805,114.25,149.9,2.21,0.1936,1,12
240,-4,-20.58,116,130.6,2.035,0.1338,1,12
241,-5,-19.73,110.1,140.2,2.23,0.1761,1,12
242,-3,-18.88,104.2,158,2.402,0.1724,1,12
338,-4,-18.73,101.5,181.5,1.754,0.2045,0,12
339,-4,-13.84,117,208.8,1.4795,0.2382,0,12
340,-5,-20.17,106.4,194,1.523,0.2568,0,12
341,-4,-7.066,128.6,194,1.82,0.228,0,12
346,-5,-11.64,131.1,239.2,2.54,0.1344,0,12
347,-5,-14.375,126.75,196.5,2.062,0.1459,0,12
348,4,-8.25,147,182.9,2.016,0.1567,0,12
349,-5,-16.88,118.8,232.4,1.777,0.1805,0,12
410,-3,-19.78,117.44,190,2.281,0.2101,0,13
471,-3,-26.72,95.44,212.5,1.549,0.1843,1,13
482,-1,-25.12,84.7,171.5,1.97,0.1776,0,13
487,-2,-15.07,93.75,205.1,-0.1333,0.4197,0,13
624,-4,-25.33,102.5,199.4,1.82,0.2693,0,13
685,-4,-18.33,89.4,217.1,2.357,0.2106,1,13
695,-5,-23.38,98.44,199,1.815,0.2057,0,13
700,-1,8.58,96,241.4,0.646,0.2747,0,13
837,-5,-25.31,93.94,275.5,1.8,0.4219,0,13
898,0,-29.88,81.94,189.9,1.624,0.2205,1,13
909,-5,-24.47,99,193.4,2.107,0.09125,0,13
914,-4,17.95,86.75,218.4,0.5537,0.298,0,13
1051,-5,-24.83,96.9,227.2,1.66,0.3167,0,13
1112,2,-21.11,106.3,198.9,1.779,0.2354,1,13
1123,-5,-23.11,89.7,199.4,1.995,0.1958,0,13
1128,-5,-9.695,90.7,210.1,1.23,0.2864,0,13
1216,-5,-30.06,99.56,203.1,1.414,0.1989,1,13
1270,-4,-28.12,89.1,212.2,1.554,0.2134,1,13
1324,-1,-20.72,94.5,184.8,2.21,0.2075,1,13
1378,-2,-18.69,104.9,187.6,2.426,0.1636,1,13
1432,-5,-19.9,83.94,181.9,1.897,0.1842,1,13
1486,-1,-18.36,102.4,205.8,2.24,0.2177,1,13
1540,0,-26.73,89.06,222.8,1.378,0.1672,1,13
1594,-2,-22.6,84.6,175.5,1.783,0.2253,1,13
1648,-5,-14.27,100.6,198.8,2.348,0.263,1,13
1702,-5,-23.47,96.5,210.8,1.595,0.2656,1,13
1756,2,-17.48,92.1,194.9,1.954,0.2642,1,13
1810,-3,-24.17,93.9,185.6,1.6,0.2349,1,13
1864,-2,-23.75,91.3,185.1,1.704,0.2024,1,13
1918,5,-20.42,86.6,191.1,1.878,0.2507,1,13
1972,-5,-20.11,90.25,180,1.505,0.2443,1,13
2026,-5,-18.38,95.9,173.9,1.651,0.2294,1,13
2079,-3,-4.598,104.7,198,1.913,0.2788,1,13
2133,-5,-16.42,96.4,197.6,2.262,0.2184,1,13
2187,-3,-5.656,91.25,178.4,1.656,0.295,1,13
2240,0,-10.63,88.2,220.4,1.859,0.2808,1,13
144,2,-2.318,121.1,257.8,2.164,0.2356,0,14
145,0,-1.805,133,252.1,2.453,0.2146,0,14
146,1,-3.688,118,250.6,2.332,0.265,0,14
147,-3,-2.54,134.6,235.1,2.336,0.2646,0,14
151,0,-4.39,102.3,239.4,2.32,0.2001,0,14
152,-3,-6.81,118.6,235.6,2.29,0.241,0,14
153,-2,-10.33,110.25,240.9,1.178,0.2585,0,14
154,0,-8.08,121.6,252.9,2.582,0.2366,0,14
243,1,0.895,127.9,244.2,1.969,0.249,1,14
244,-5,-7.82,123.2,248,2.55,0.2028,1,14
245,-1,-4.36,115.7,258.8,2.39,0.2064,1,14
246,-3,-7.242,113.44,244.6,2.236,0.2003,1,14
247,-5,-4.465,121.94,237.9,2.057,0.2474,1,14
248,-3,-6.86,107.8,254.5,2.314,0.1766,1,14
249,3,-9.02,118.8,246.9,2.39,0.1927,1,14
250,-4,-7.758,115.9,247.8,2.334,0.1892,1,14
251,-1,-7.42,119.06,245.5,2.336,0.2256,1,14
252,-5,-6.61,124,230.6,2.535,0.2417,1,14
253,-3,-3.383,124.2,250.1,2.016,0.259,1,14
254,-4,-4.367,124.4,252.5,2.148,0.2421,1,14
255,-5,-6.07,138.6,239.5,2.025,0.2068,1,14
256,-5,-4.066,132.4,240.5,2.32,0.2793,1,14
257,-3,-7.35,123.9,242.4,1.918,0.2463,1,14
258,-4,-7.11,130,233,2.15,0.256,1,14
259,-2,-6.465,124.4,238.9,2.094,0.279,1,14
260,-5,-3.512,123.75,245.4,2.025,0.265,1,14
261,-3,-2.457,139.9,220.1,2.39,0.2615,1,14
262,-5,-5.89,126.8,231.5,2.45,0.2507,1,14
263,-5,-4.945,122.25,241,2.455,0.271,1,14
264,-2,0,125.2,217.4,1.448,0.272,1,14
265,-4,-4.164,126.25,241.6,2.406,0.2634,1,14
266,-4,-4.207,128,236.5,2.453,0.2969,1,14
342,-2,-11.1,135.6,265.5,1.373,0.1772,0,14
343,-3,-4.508,126.06,242.6,2.3,0.239,0,14
344,2,-9.1,120.25,238.6,2.541,0.2737,0,14
345,1,-1.918,135.6,229.9,2.19,0.2296,0,14
358,-2,-7.496,119.94,257.5,2.56,0.1356,0,14
359,-3,-9.086,113.75,253.2,2.656,0.1178,0,14
360,-4,-10.02,123.06,251.6,2.566,0.1686,0,14
361,4,-9.35,110.6,246.1,2.66,0.1857,0,14
159,-1,-14.87,117.4,186,2.057,0.194,0,15
160,-4,-16.77,118.2,195.6,1.82,0.215,0,15
161,5,-20.64,111.75,213.9,2.006,0.3083,0,15
162,1,-19.4,112.94,198.2,1.805,0.2231,0,15
267,4,-13.16,88.06,214.8,1.179,0.2537,1,15
268,-5,-11.46,103.94,241.6,1.139,0.2546,1,15
269,-2,-26.81,104.56,237.6,0.9287,0.2158,1,15
270,0,-17.58,100.06,242.9,0.9185,0.2391,1,15
271,-1,-21.19,103.44,227.6,1.005,0.2446,1,15
272,5,-14.04,103,237.2,0.9434,0.2389,1,15
273,0,-13.2,95,237.1,1.436,0.2546,1,15
274,-5,-9.516,104.25,250,1.766,0.2295,1,15
275,-4,-11.02,99.2,249.1,1.395,0.2421,1,15
276,-4,-30.11,96.4,232.9,1.372,0.2976,1,15
277,0,-25.5,106.75,239.1,1.419,0.2373,1,15
278,1,-23.6,98.56,224.5,1.749,0.2312,1,15
279,-2,-23.61,105.7,234.6,1.0205,0.3394,1,15
280,0,-20.56,106.75,237.1,1.189,0.2922,1,15
281,-1,-19.72,97.8,232.4,1.287,0.2578,1,15
282,2,-17.73,106.4,225.8,0.882,0.244,1,15
283,-3,-16.2,97.06,249.9,1.071,0.2722,1,15
284,2,-12.59,100.4,223.6,1.836,0.2625,1,15
285,3,-17.52,104.25,238,1.154,0.2769,1,15
286,4,-15.58,105.94,231.8,1.38,0.2659,1,15
287,4,-11.85,104.94,238.6,1.467,0.29,1,15
288,-4,-15.16,94.4,237.2,1.477,0.2422,1,15
289,5,-16.42,104.7,229,1.2,0.2627,1,15
290,-1,-15.516,95.7,240.9,1.533,0.25,1,15
350,-1,-19.08,103.5,230.6,1.908,0.1903,0,15
351,-5,-18.5,89.44,207.4,1.533,0.2063,0,15
352,4,-25.9,89.75,215.9,1.995,0.1617,0,15
353,4,-26.31,91.44,208.6,1.948,0.1335,0,15
354,-2,-9.19,99.8,243.8,1.713,0.2537,0,15
355,-1,-11.9,104.25,215.2,1.622,0.182,0,15
356,-1,-11.11,96.75,235.2,1.714,0.1812,0,15
357,-4,-9.734,100.06,246.2,1.585,0.179,0,15
163,-1,-9.97,134.1,203.4,2.451,0.282,0,16
164,-5,-25.95,123.06,232.9,0.974,0.2218,0,16
165,-2,-38.66,126.6,219,0.2073,0.2605,0,16
166,-2,-13.8,130.6,221.4,1.733,0.204,0,16
175,-5,-12.836,130.5,206.4,0.405,0.2778,0,16
176,1,-28.66,112.56,235.5,1.273,0.226,0,16
177,-2,-33.06,128.9,201.9,0.4255,0.341,0,16
178,-1,-17.05,115.06,226.6,2.025,0.2247,0,16
215,-1,-38.66,134.2,210.1,0.1042,0.2164,0,16
216,0,-84.8,114.2,237,0.005318,0.1377,0,16
217,-5,-3.77,130.1,210.1,1.817,0.12384,0,16
218,1,-68.75,109.4,244.4,0.03806,0.1271,0,16
291,-1,-1.803,130.1,244.8,1.459,0.2424,1,16
292,3,8.83,142.9,232.9,1.354,0.2515,1,16
293,2,-66.9,105.6,257.8,0.1948,0.2179,1,16
294,-1,-41.25,111.5,256.8,0.3333,0.2194,1,16
295,4,-52.62,110.9,249.8,0.2153,0.2727,1,16
296,1,-76.94,98.7,243.8,0.06665,0.2476,1,16
297,-1,-53.12,111.44,250.8,0.01538,0.2201,1,16
298,1,-64.06,121.6,259.5,0.1794,0.2191,1,16
299,3,-58.66,103.7,248.8,0.2717,0.2524,1,16
300,-3,-10.7,114.1,243.2,1.323,0.2483,1,16
301,-2,-83.56,109.94,221.1,0.0359,0.1477,1,16
302,5,-86.4,102.1,249.5,0.01515,0.2233,1,16
303,2,-46.34,98.56,242.1,0.547,0.2644,1,16
304,0,-52.62,99.3,244.1,0.282,0.2844,1,16
305,-5,-52.12,104,261.5,0.2512,0.274,1,16
306,-4,-62.2,108.94,272.8,0.1948,0.2284,1,16
307,2,-45.66,105,274.5,0.441,0.1826,1,16
308,5,-47.28,85.7,220.6,0.303,0.2251,1,16
309,3,-85.94,104.5,266,0.03093,0.2737,1,16
310,3,-64.4,103.94,231.5,0.12305,0.328,1,16
311,-5,-63.06,122.56,270.2,0.1641,0.2615,1,16
312,-2,-51.97,117.4,249,0.2251,0.322,1,16
313,4,-41.78,103,264,0.3384,0.3196,1,16
326,2,-7.125,128.2,215.6,0.04102,0.3499,0,16
327,-3,63.44,121.3,220.6,-0.005127,0.4575,0,16
328,0,12.766,100.06,214.4,1.811,0.322,0,16
329,-5,-25.7,84.7,230.4,0.2769,0.351,0,16
385,0,-7.453,105.94,240.1,2.455,0.2191,0,17
454,-5,-2.838,125.5,228,1.254,0.3335,0,17
472,-4,-8.99,131.6,262.8,1.448,0.2286,1,17
510,-2,-9.61,90.94,254.5,2.518,0.287,0,17
599,3,-10.68,91.5,233.8,2.541,0.2306,0,17
668,4,-4.676,132.8,252.5,0.828,0.3196,0,17
723,-5,-7.77,92.4,246.5,2.654,0.2856,0,17
812,-1,-2.39,95.4,248.4,2.37,0.24,0,17
881,0,-6.15,121.75,243.5,2.549,0.2778,0,17
899,3,-5.23,130.5,250,0.732,0.2437,1,17
937,3,-1.966,122.9,241.9,2.24,0.2805,0,17
1026,-5,0.1917,114.7,243.4,1.558,0.2245,0,17
1095,-2,-8.66,129.4,238.1,1.43,0.2922,0,17
1113,-2,-8.67,123.6,246.4,2.23,0.2524,1,17
1151,-4,-1.848,111.1,247.9,1.113,0.325,0,17
1217,-5,-14.42,127.6,246.6,0.902,0.2178,1,17
1271,-3,-4.31,122.5,266,2.49,0.2471,1,17
1325,-1,-10.81,130.8,250.8,1.754,0.2905,1,17
1379,5,-8.664,121.3,273.2,2.482,0.2284,1,17
1433,-3,-3.25,130.2,255.2,2.555,0.2139,1,17
1487,5,-3.938,123.7,255.6,2.56,0.2754,1,17
1541,-3,-2.586,123.94,261.2,2.523,0.2717,1,17
1595,-1,-6.074,139.9,253.4,0.9946,0.2373,1,17
1649,0,-4.16,135.9,266.2,2.492,0.2477,1,17
1703,3,-7.46,126.25,253.4,0.8794,0.2605,1,17
1757,-5,-9.57,129.8,251.6,0.9272,0.2467,1,17
1811,0,-10.97,127.1,256.5,1.176,0.2223,1,17
1865,-2,-13.3,123.06,260,1.14,0.2515,1,17
1919,5,-7.887,125.1,269.2,0.86,0.2615,1,17
1973,5,-12.66,130,262.2,1.2295,0.275,1,17
2027,2,-5.723,125.7,262.2,2.533,0.252,1,17
2080,-5,-6.96,115.7,257.8,2.271,0.261,1,17
2134,3,-6.574,124.44,257.8,2.518,0.2617,1,17
2188,4,-5.742,132.5,259.2,0.923,0.2507,1,17
2241,0,-3.668,136.6,260.2,1.206,0.2399,1,17
381,-5,-13.08,99.6,217,1.964,0.2305,0,18
405,-3,-14.58,104.3,227.5,1.648,0.1902,0,18
473,-4,-13.98,98,286.5,2.418,0.1431,1,18
479,-5,-12.42,98.4,249.6,2.375,0.1664,0,18
595,-4,-16.72,105.2,197.6,2.338,0.1461,0,18
619,-5,-7.426,113.25,245.9,1.811,0.213,0,18
686,-3,-14.01,101,292,2.467,0.0897,1,18
692,-4,-18.44,93.2,267,2.297,0.1439,0,18
808,-5,-16.08,111.2,214.5,1.815,0.2042,0,18
832,-3,-8.04,113.44,233.1,1.806,0.1736,0,18
900,-5,-12.88,100.8,283.5,2.467,0.1126,1,18
906,-5,-17.84,90.5,256.2,2.045,0.1769,0,18
1022,-3,-15.14,104.2,232.9,1.989,0.178,0,18
1046,-5,-1.114,120.8,242.2,1.312,0.1781,0,18
1114,-5,-16.39,82.8,292.5,2.465,0.06335,1,18
1120,-5,-18.39,87.3,277.8,2.281,0.1487,0,18
1218,-4,-13.21,94.06,314.2,2.533,0.063,1,18
1272,-3,-16.28,90.6,294.8,2.477,0.1191,1,18
1326,-4,-13.08,110.25,267.5,2.459,0.06082,1,18
1380,-4,-13.95,89.2,291,2.531,0.0341,1,18
1434,3,-22.25,98.94,308,2.443,0.03586,1,18
1488,-5,-16.98,72.75,302,2.506,0.05386,1,18
1542,-4,-21.77,100,278,2.506,0.0618,1,18
1596,-3,-12.6,103.8,270,2.477,0.07855,1,18
1650,-3,-16.4,88.6,268,2.494,0.03928,1,18
1704,-5,-15.45,97.7,288.2,2.51,0.0438,1,18
